concept_sportsteam_arizona_diamond_backs	Arizona Diamond Backs
concept_weapon_nuclear_explosive_device	Nuclear Explosive Device
concept_personus_u_s__president	US President
concept_city_gallup	Gallup
concept_bakedgood_chocolate	Chocolate
concept_city_keremeos	Keremeos
concept_lake_deep_creek_lake	Deep Creek Lake
concept_radiostation_bristol_myers_squibb	Bristol Myers Squibb
concept_condiment_spicy_sauce	Spicy Sauce
concept_sportsequipment_golf_apparel	Golf Apparel
concept_hotel_tower	Tower
concept_physicalaction_chain	Chain
concept_hotel_condado_plaza	Condado Plaza
18.4604000000000,-66.0796000000000	18.4604000000000,-66.0796000000000
concept_writer_walter_pater	Walter Pater
concept_magazine_weekend	Weekend
concept_personnorthamerica_edgar_wallace	Edgar Wallace
concept_televisionshow_the_four_just_men	The Four Just Men
concept_amphibian_dragons	Dragons
concept_language_flemish	Flemish
concept_director_robert_rodriguez	Robert Rodriguez
concept_musician_feist	Feist
concept_journalist_joseph_kahn	Joseph Kahn
concept_governmentorganization_ofsted	Ofsted
concept_athlete_chris_narveson	Chris Narveson
concept_criminal_external_sites	External Sites
concept_actor_raymond_felton	Raymond Felton
concept_stadiumoreventvenue_van_andel_arena	Van Andel Arena
concept_attraction_russell_square	Russell Square
concept_aquarium_bass_aquarium	Bass Aquarium
concept_building_modern	Modern
concept_writer_craig_johnson	Craig Johnson
concept_book_the_cold_dish	The Cold Dish
concept_kitchenitem_tissue	Tissue
concept_astronaut_landing	Landing
concept_hotel_ana	Ana
concept_website_wqow_tv	Wqow TV
concept_radiostation_wrif	Wrif
concept_profession_presenters	Presenters
concept_geopoliticallocation_downtown_toronto	Downtown Toronto
concept_biotechcompany_microsoft	Microsoft
concept_county_los_angeles_county_high_school	Los Angeles County High School
concept_weapon_phoenix_missiles	Phoenix Missiles
concept_movie_liar_liar	Liar Liar
concept_person_john_henrik_clarke	John Henrik Clarke
concept_athlete_chris_pronger	Chris Pronger
concept_city_promise	Promise
concept_drug_phenylephrine	Phenylephrine
concept_bacteria_rickettsia_conorii	Rickettsia Conorii
concept_disease_boutonneuse_fever	Boutonneuse Fever
concept_retailstore_dow_chemical	Dow Chemical
concept_company_broderbund	Broderbund
concept_person_deanie_hickox_fox	Deanie Hickox Fox
concept_person_jeremy_fox	Jeremy Fox
concept_geometricshape_trines	Trines
34.9541700000000,33.3458300000000	34.9541700000000,33.3458300000000
concept_retailstore_snail_mail	Snail Mail
concept_televisionstation_kmgh	Kmgh
concept_aquarium_closed_loop_system_on_saltwater_aquarium	Closed Loop System On Saltwater Aquarium
concept_county_corcoran_school_of_art	Corcoran School Of Art
38.8956700000000,-77.0399800000000	38.8956700000000,-77.0399800000000
concept_clothing_wool_pants	Wool Pants
concept_writer_lewis_carol	Lewis Carol
concept_politician_black	Black
concept_musicalbum_invasion	Invasion
concept_sportsteamposition_goalie	Goalie
concept_musician_rick_wright	Rick Wright
concept_geopoliticallocation_mass_	Mass
concept_lake_samana_peninsula	Samana Peninsula
19.2500000000000,-69.4166700000000	19.2500000000000,-69.4166700000000
concept_athlete_gary_panks	Gary Panks
concept_book_the_princess_and_the_goblin	The Princess And The Goblin
concept_book_the_man_in_the_high_castle	The Man In The High Castle
concept_book_wintersmith	Wintersmith
concept_buildingmaterial_plumbing	Plumbing
concept_personmexico_lynn_swann	Lynn Swann
concept_beverage_thyme	Thyme
concept_governmentorganization_federal_reserve_board	Federal Reserve Board
concept_person_frost	Frost
concept_musician_karl_goldmark	Karl Goldmark
concept_island_wotje	Wotje
9.4586306666667,170.1296280000000	9.4586306666667,170.1296280000000
concept_bank_ual	Ual
concept_ceo_glenn_f__tilton	Glenn F Tilton
concept_journalist_greta_van_susteren	Greta Van Susteren
concept_city_corsicana	Corsicana
concept_fish_anglers	Anglers
concept_room_children_room	Children Room
35.3008200000000,-120.6603600000000	35.3008200000000,-120.6603600000000
concept_drug_keflex	Keflex
concept_book_music_and_silence	Music And Silence
concept_profession_execution	Execution
concept_hotel_iberostar_bavaro	Iberostar Bavaro
18.7060200000000,-68.4437150000000	18.7060200000000,-68.4437150000000
concept_hotel_park_view_hotel	Park View Hotel
concept_person_stephanie	Stephanie
concept_city_tarbert	Tarbert
concept_fish_sturgeon	Sturgeon
concept_drug_campath	Campath
concept_sportsgame_n1952_world_series	N1952 World Series
concept_person_james_ernest	James Ernest
concept_televisionstation_wagt_tv	Wagt TV
concept_city_bethel_park	Bethel Park
concept_personeurope_castor_and_polydeuces	Castor And Polydeuces
concept_coach_hugh_freeze	Hugh Freeze
concept_athlete_kahne	Kahne
concept_drug_aldactazide	Aldactazide
concept_company_air_madagascar	Air Madagascar
concept_weapon_film_camera	Film Camera
concept_book_the_black_prism	The Black Prism
concept_personmexico_macay_mcbride	Macay Mcbride
concept_weatherphenomenon_climax	Climax
concept_academicfield_family_medicine	Family Medicine
concept_furniture_daybeds	Daybeds
concept_personaustralia_rosamunde_pilcher	Rosamunde Pilcher
concept_book_the_shell_seekers	The Shell Seekers
concept_park_bernal_heights	Bernal Heights
concept_protein_fluphenazine	Fluphenazine
concept_athlete_zach_parise	Zach Parise
concept_stadiumoreventvenue_nehru_stadium	Nehru Stadium
28.5825600000000,77.2348300000000	28.5825600000000,77.2348300000000
concept_musicartist_santana	Santana
concept_chemical_hydrogen_peroxide	Hydrogen Peroxide
concept_academicfield_molecular_genetics	Molecular Genetics
concept_physicalaction_result	Result
concept_lake_columbia_river	Columbia River
concept_person_home003	Home003
concept_governmentorganization_national_marine_fisheries	National Marine Fisheries
41.5259400000000,-70.6744700000000	41.5259400000000,-70.6744700000000
concept_park_imi_residence	Imi Residence
53.2790000000000,-6.2310000000000	53.2790000000000,-6.2310000000000
concept_person_phil_jackson	Phil Jackson
concept_city_porto	Porto
concept_coach_two_daughters	Two Daughters
concept_hotel_ramada_wilshire_center	Ramada Wilshire Center
concept_movie_half_nelson	Half Nelson
concept_televisionstation_kshb_tv	Kshb TV
concept_movie_return	Return
concept_movie_footloose	Footloose
concept_fruit_chillies	Chillies
concept_televisionshow_batman_begins	Batman Begins
concept_officebuildingroom_spacious_staterooms	Spacious Staterooms
concept_vehicle_receipt	Receipt
concept_male_billy_ray_cyrus	Billy Ray Cyrus
concept_university_cal_state	Cal State
concept_chef_giada	Giada
43.4293750000000,11.1306500000000	43.4293750000000,11.1306500000000
concept_nondiseasecondition_lagb	Lagb
24.5333300000000,68.1500000000000	24.5333300000000,68.1500000000000
concept_militaryconflict_american_revolution	American Revolution
concept_book_the_mad_king	The Mad King
concept_academicfield_nuclear_physics	Nuclear Physics
concept_company_thai_international	Thai International
concept_attraction_jobing_com	Jobing Com
33.5317750000000,-112.2612600000000	33.5317750000000,-112.2612600000000
concept_newspaper_desert_sun	Desert Sun
concept_mlarea_critical_analysis	Critical Analysis
concept_governmentorganization_florida_department_of_environmental_protection	Florida Department Of Environmental Protection
concept_awardtrophytournament_super_bowl_xl	Super Bowl Xl
concept_protein_propafenone	Propafenone
concept_fish_fish_tacos	Fish Tacos
concept_university_providence_college	Providence College
concept_radiostation_flash_jack	Flash Jack
-31.6666700000000,149.6500000000000	-31.6666700000000,149.6500000000000
concept_musician_warren_haynes	Warren Haynes
concept_visualizablething_water_delivery	Water Delivery
concept_person_gore	Gore
concept_person_damon_stoudamire	Damon Stoudamire
concept_city_old_tappan	Old Tappan
concept_city_grinnell	Grinnell
concept_county_bloomsburg	Bloomsburg
concept_sportsgame_bcs_national_championship_game	Bcs National Championship Game
concept_university_bronx_high_school_of_science	Bronx High School Of Science
concept_person_pink	Pink
concept_person_carey_hart	Carey Hart
concept_room_rear_cabin	Rear Cabin
concept_crustacean_live_shrimp	Live Shrimp
concept_visualizablething_house_salad	House Salad
concept_currency_sistemas	Sistemas
37.0000000000000,-4.0000000000000	37.0000000000000,-4.0000000000000
concept_personmexico_chris_neil	Chris Neil
concept_sportsteam_arizona_state_sun_devils	Arizona State Sun Devils
concept_sportsteam_cal_st__fullerton_titans	Cal St Fullerton Titans
concept_book_a_discovery_of_witches	A Discovery Of Witches
concept_writer_deborah_harkness	Deborah Harkness
concept_city_allakaket	Allakaket
concept_musicartist_big_deal	Big Deal
concept_mountain_mauna_kea	Mauna Kea
concept_city_baden	Baden
concept_skiarea_rancocas	Rancocas
concept_geopoliticallocation_middle_tennessee	Middle Tennessee
concept_drug_coumadin	Coumadin
concept_ethnicgroup_luvale	Luvale
-11.8219400000000,37.4258300000000	-11.8219400000000,37.4258300000000
concept_person_emmanuel_hernandez	Emmanuel Hernandez
concept_city_yauco	Yauco
concept_automobilemodel_infos	Infos
concept_skiarea_picos_de_europa	Picos De Europa
concept_monarch_trajan	Trajan
concept_lake_hamilton_harbour	Hamilton Harbour
concept_university_florida_college	Florida College
concept_stadiumoreventvenue_pirates_cove	Pirates Cove
concept_athlete_shin_soo_choo	Shin Soo Choo
concept_disease_spina_bifida	Spina Bifida
concept_planet_testament	Testament
concept_personasia_mataji	Mataji
25.7750000000000,75.5180600000000	25.7750000000000,75.5180600000000
concept_mlauthor_david_stirling	David Stirling
concept_chef_jerome_rambert	Jerome Rambert
concept_academicfield_international_marketing	International Marketing
concept_academicfield_computer_studies	Computer Studies
concept_skyscraper_stratosphere_tower	Stratosphere Tower
concept_visualizableobject_windscreen	Windscreen
concept_drug_pain_killers	Pain Killers
concept_university_usda	Usda
concept_bone_chemotherapy	Chemotherapy
concept_stadiumoreventvenue_tullio_arena	Tullio Arena
concept_bacteria_salmonella_enterica	Salmonella Enterica
concept_stadiumoreventvenue_linn_county_fairgrounds	Linn County Fairgrounds
38.1444700000000,-94.8280200000000	38.1444700000000,-94.8280200000000
concept_person_betsy	Betsy
concept_weapon_mortar_rounds	Mortar Rounds
concept_book_the_adventure_of_the_musgrave_ritual	The Adventure Of The Musgrave Ritual
concept_journalist_jose_de_jesus_ortiz	Jose De Jesus Ortiz
concept_person_o_neill	O Neill
concept_writer_mark_bittman	Mark Bittman
concept_mountain_bobotov_kuk	Bobotov Kuk
43.1288300000000,19.0336800000000	43.1288300000000,19.0336800000000
concept_university_trent_university	Trent University
concept_personus_use_publications	Use Publications
concept_street_governors_drive	Governors Drive
34.7198100000000,-86.6111000000000	34.7198100000000,-86.6111000000000
concept_museum__home	Home
concept_university_villanova_university	Villanova University
concept_skiarea_desert_oasis	Desert Oasis
concept_website_weht	Weht
concept_profession_developer	Developer
concept_sportsteam_texas_aandm_aggies	Texas Aandm Aggies
concept_politician_cornyn	Cornyn
concept_nut_dish	Dish
concept_bakedgood_breakfasts	Breakfasts
concept_aquarium_zool_gico_municipal_de_pedreira	Zool Gico Municipal De Pedreira
concept_personmexico_mark_buehrle	Mark Buehrle
concept_company_ethiopian_airlines	Ethiopian Airlines
concept_visualizablescene_berlin_schoenefeld	Berlin Schoenefeld
concept_musician_billie_holiday	Billie Holiday
concept_clothing_cape	Cape
concept_musicartist_divers	Divers
concept_sportsteam_case_western_reserve_university	Case Western Reserve University
concept_vehicle_animals	Animals
concept_visualartist_joan_miro	Joan Miro
concept_automobilemaker_nafta	Nafta
concept_park_sheraton_soma_bay	Sheraton Soma Bay
26.8455000000000,33.9967000000000	26.8455000000000,33.9967000000000
concept_county_trabuco_canyon	Trabuco Canyon
concept_mlarea_approach	Approach
concept_aquarium_vertical_aquarium	Vertical Aquarium
concept_director_spike_jonze	Spike Jonze
concept_televisionstation_wcbb_tv	Wcbb TV
concept_artery_iliac_arteries	Iliac Arteries
concept_newspaper_l_unione_sarda	L Unione Sarda
concept_movie_grudge	Grudge
concept_writer_louisa_m_alcott	Louisa M Alcott
concept_sportsteam_villanova_university	Villanova University
concept_visualizableobject_component	Component
concept_book_the_way_we_live_now	The Way We Live Now
concept_shoppingmall_marketplace	Marketplace
concept_website_stranger	Stranger
concept_book_my_cousin_rachel	My Cousin Rachel
concept_stadiumoreventvenue_copper_mountain	Copper Mountain
concept_trail_desert_inn	Desert Inn
concept_organization_sports_service	Sports Service
concept_terroristorganization_afp	Afp
concept_park_har_nof	Har Nof
concept_musician_the_beach_boys	The Beach Boys
concept_newspaper_wtsp_tv	Wtsp TV
concept_radiostation_kxla	Kxla
concept_person_johan_santana001	Johan Santana001
concept_politicsissue_social_policy	Social Policy
concept_clothing_white_jacket	White Jacket
concept_visualizableobject_position	Position
concept_city_wood	Wood
concept_writer_nicholas_monsarrat	Nicholas Monsarrat
concept_book_the_cruel_sea	The Cruel Sea
concept_profession_surveyors	Surveyors
concept_sportsteam_belmont_bruins	Belmont Bruins
concept_personaustralia_carmelo_anthony	Carmelo Anthony
concept_movie_delinquent	Delinquent
40.8144400000000,-73.8902800000000	40.8144400000000,-73.8902800000000
concept_animal_dingos	Dingos
concept_sportsteam_radford_highlanders	Radford Highlanders
concept_aquarium_tropical_fish_aquarium	Tropical Fish Aquarium
concept_city_brookhaven	Brookhaven
concept_bank_syndicate_bank	Syndicate Bank
concept_radiostation_wkbn_tv	Wkbn TV
concept_mountainrange_anti_atlas	Anti Atlas
29.4733333333333,-9.1666666666667	29.4733333333333,-9.1666666666667
concept_cardgame_texas_hole	Texas Hole
34.3951000000000,-95.9002600000000	34.3951000000000,-95.9002600000000
concept_politicaloffice_united_states_senator	United States Senator
concept_drug_miacalcin	Miacalcin
concept_stadiumoreventvenue_indianapolis_raceway_park	Indianapolis Raceway Park
concept_stadiumoreventvenue_boardwalk_hall	Boardwalk Hall
concept_drug_tareg	Tareg
concept_person_joan_webb	Joan Webb
concept_hotel_delta_winnipeg	Delta Winnipeg
49.8900000000000,-97.1436000000000	49.8900000000000,-97.1436000000000
concept_coach_takeo_spikes	Takeo Spikes
concept_buildingfeature_plumbing	Plumbing
concept_disease_liver_cancer	Liver Cancer
concept_medicalprocedure_start	Start
concept_book_one_of_ours	One Of Ours
concept_aquarium_hex_shaped_aquarium	Hex Shaped Aquarium
concept_aquarium_mid_atlantic_states	Mid Atlantic States
concept_sportsteam_miracle_mets	Miracle Mets
concept_river_turkey_brook	Turkey Brook
41.8529200000000,-72.8653316666666	41.8529200000000,-72.8653316666666
concept_visualizablescene_rowlett	Rowlett
concept_book_friends_in_high_places	Friends In High Places
concept_movie_cast_away	Cast Away
concept_person_roger_steiner	Roger Steiner
concept_skiarea_woodbury	Woodbury
concept_park_various_locations	Various Locations
concept_athlete_andy_murray	Andy Murray
concept_visualizablething_third_floor_room	Third Floor Room
concept_stadiumoreventvenue_silver_spurs_arena	Silver Spurs Arena
concept_city_lagrange	Lagrange
concept_coach_steve_fairchild	Steve Fairchild
concept_bank_deloitte	Deloitte
concept_disease_cancer_last_year	Cancer Last Year
concept_athlete_john_tortorella	John Tortorella
concept_athlete_justin_duchscherer	Justin Duchscherer
concept_city_san_gwann	San Gwann
concept_city_west_fargo	West Fargo
concept_comedian_ben_affleck	Ben Affleck
concept_comedian_jennifer_lopez	Jennifer Lopez
concept_sportsteam_california_davis_aggies	California Davis Aggies
concept_book_something_fresh	Something Fresh
concept_lake_ashokan_reservoir	Ashokan Reservoir
41.9434300000000,-74.2118150000000	41.9434300000000,-74.2118150000000
concept_county_south_gate	South Gate
concept_governmentorganization_federal_agency	Federal Agency
concept_book_death_in_venice	Death In Venice
concept_personeurope_management	Management
concept_website_athletics	Athletics
concept_book_turn_of_the_screw	Turn Of The Screw
concept_buildingmaterial_roof	Roof
concept_city_aksu	Aksu
concept_website_village_voice	Village Voice
concept_scientist_chang_heng	Chang Heng
28.7287600000000,121.5700800000000	28.7287600000000,121.5700800000000
concept_stadiumoreventvenue_bill_snyder_family_stadium	Bill Snyder Family Stadium
concept_chemical_flour	Flour
concept_drug_allegra	Allegra
concept_beverage_flower_water	Flower Water
concept_person_roman_polanski	Roman Polanski
concept_drug_relpax	Relpax
concept_musicartist_propagandhi	Propagandhi
concept_bedroomitem_machines	Machines
concept_newspaper_virginian_pilot	Virginian Pilot
concept_bathroomitem_wc_	Wc
concept_plant_sequoia	Sequoia
concept_personcanada_david_boston	David Boston
concept_awardtrophytournament_double_points	Double Points
30.0413100000000,-85.1296400000000	30.0413100000000,-85.1296400000000
concept_park_rama_hotel	Rama Hotel
concept_athlete_ryan_tucker	Ryan Tucker
concept_mountain_beerenberg	Beerenberg
71.0833300000000,-8.1666700000000	71.0833300000000,-8.1666700000000
concept_politicianus_melissa_hart	Melissa Hart
concept_director_quentin_tarantino	Quentin Tarantino
concept_city_luttrell	Luttrell
concept_stadiumoreventvenue_blaisdell_center	Blaisdell Center
21.3027800000000,-157.8538900000000	21.3027800000000,-157.8538900000000
concept_bakedgood_chocolate_mousse_cake	Chocolate Mousse Cake
concept_university_haifa_university	Haifa University
concept_university_west_point	West Point
concept_drug_protopic	Protopic
concept_personcanada_standings	Standings
concept_coach_leavenworth	Leavenworth
concept_book_charade	Charade
concept_grain_bamboo_shoots	Bamboo Shoots
concept_city_mayville	Mayville
concept_hotel_amman_international	Amman International
concept_book_point_blanc	Point Blanc
concept_city_hinesburg	Hinesburg
concept_person_alex_figge	Alex Figge
concept_ceo_david_cote	David Cote
concept_musicinstrument_two_pianos	Two Pianos
concept_personcanada_elvis_presley	Elvis Presley
concept_person_mastro	Mastro
concept_lake_king_sound	King Sound
-16.8333300000000,123.4166700000000	-16.8333300000000,123.4166700000000
concept_officebuildingroom_small_bedrooms	Small Bedrooms
concept_airport_templehof	Templehof
concept_chemical_tannic_acid	Tannic Acid
concept_director_john_milius	John Milius
concept_movie_conan_the_barbarian	Conan The Barbarian
concept_drug_lasix	Lasix
concept_athlete_freeman_mcneil	Freeman Mcneil
concept_movie_witches_of_eastwick	Witches Of Eastwick
concept_attraction_leyton	Leyton
concept_book_masquerade	Masquerade
concept_personnorthamerica_richard_massey	Richard Massey
concept_televisionstation_kbvu	Kbvu
concept_celebrity_darren_gough	Darren Gough
concept_beverage_nuts	Nuts
concept_automobilemodel_nissan_maxima	Nissan Maxima
concept_hotel_fairmont_royal_york	Fairmont Royal York
concept_automobilemodel_ford_escape_hybrid	Ford Escape Hybrid
concept_musicsong_brother	Brother
concept_amphibian_snake	Snake
concept_actor_chris_o_donnell	Chris O Donnell
concept_movie_robin	Robin
concept_female_courtney_ford	Courtney Ford
concept_city_southend	Southend
concept_writer_andrew_rosenheim	Andrew Rosenheim
concept_televisionshow_without_prejudice	Without Prejudice
concept_televisionstation_wnab_tv	Wnab TV
concept_disease_colitis	Colitis
concept_person_levin	Levin
concept_website_advisor	Advisor
concept_river_emerald	Emerald
concept_scientist_george_tiller	George Tiller
concept_crimeorcharge_n30_misdemeanor_counts	N30 Misdemeanor Counts
concept_mediatype_portion	Portion
concept_hospital_jinnah_hospital	Jinnah Hospital
24.8517000000000,67.0495000000000	24.8517000000000,67.0495000000000
concept_officebuildingroom_style_rooms	Style Rooms
concept_sportsteam_tulane_university	Tulane University
concept_politicianus_joseph_mccarthy	Joseph Mccarthy
concept_hotel_best_western_sunset_plaza_hotel	Best Western Sunset Plaza Hotel
concept_island_pulau_weh	Pulau Weh
5.8188900000000,95.3002800000000	5.8188900000000,95.3002800000000
concept_street_big_step	Big Step
concept_person_main	Main
concept_book_dress_your_family_in_corduroy_and_denim	Dress Your Family In Corduroy And Denim
concept_jobposition_white_house_counsel	White House Counsel
concept_coach_lloyd_carr	Lloyd Carr
concept_book_a_local_habitation	A Local Habitation
concept_writer_seanan_mcguire	Seanan Mcguire
concept_animal_passerines	Passerines
concept_musician_hank_jones	Hank Jones
concept_geopoliticallocation_niederrhein	Niederrhein
51.5318766666667,6.4066100000000	51.5318766666667,6.4066100000000
concept_musicsong_baby_boy	Baby Boy
concept_athlete_chad_paronto	Chad Paronto
concept_insect_hornworms	Hornworms
concept_politicaloffice_strong_advocate	Strong Advocate
concept_buildingfeature_trim	Trim
concept_televisionstation_krcr_tv	Krcr TV
concept_stateorprovince_fort_collins_co	Fort Collins Co
40.5818000000000,-105.0085000000000	40.5818000000000,-105.0085000000000
concept_visualartist_turner	Turner
concept_bakedgood_pumpkin_bread	Pumpkin Bread
concept_musicartist_eddie_vedder	Eddie Vedder
concept_buildingfeature_exemption	Exemption
concept_athlete_bud_harrelson	Bud Harrelson
concept_date_n2_p_m__sunday	N2 P M Sunday
concept_company_news_corp_b	News Corp B
concept_scientist_edward_vii	Edward Vii
concept_person_penn_badgley	Penn Badgley
concept_person_blake_lively	Blake Lively
concept_sportsteam_baruch_college	Baruch College
concept_river_wutach	Wutach
47.7250000000000,8.3416650000000	47.7250000000000,8.3416650000000
concept_televisionstation_krrt	Krrt
concept_aquarium_n5_gallon_saltwater_aquarium	N5 Gallon Saltwater Aquarium
concept_politician_senator_warner	Senator Warner
concept_hotel_grand_lido_negril	Grand Lido Negril
18.2664000000000,-78.3267000000000	18.2664000000000,-78.3267000000000
concept_date_wednesday_afternoon	Wednesday Afternoon
concept_journalist_teddy_greenstein	Teddy Greenstein
concept_university_iit_bombay	Iit Bombay
19.1274100000000,72.9163900000000	19.1274100000000,72.9163900000000
concept_hotel_sir_stamford	Sir Stamford
-33.8718500000000,151.2261000000000	-33.8718500000000,151.2261000000000
concept_celebrity_dev_patel	Dev Patel
concept_movie_slumdog_millionaire	Slumdog Millionaire
concept_televisionstation_wgxa	Wgxa
concept_visualizablescene_mclean	Mclean
concept_book_nicholas_nickleby	Nicholas Nickleby
concept_clothing_blue_blazer	Blue Blazer
concept_bank_deutsche_bank_securities	Deutsche Bank Securities
concept_blog_metadata	Metadata
concept_movie_zorro	Zorro
concept_plant_switchgrass	Switchgrass
concept_weapon_smartlock_pistols	Smartlock Pistols
concept_company_local_tv_stations	Local TV Stations
concept_drug_rocaltrol	Rocaltrol
concept_transportation_frankfurt_hahn_airport	Frankfurt Hahn Airport
concept_date_n1671	N1671
34.2018100000000,-81.5164900000000	34.2018100000000,-81.5164900000000
concept_sportsteam_webster_gorlocks	Webster Gorlocks
concept_book_the_human_drift	The Human Drift
concept_aquarium_japanese_planted_aquarium	Japanese Planted Aquarium
concept_person_diane_price_baker	Diane Price Baker
concept_university_barnard_college	Barnard College
concept_sportsteam_rmit_university	Rmit University
concept_visualizablething_little_gate	Little Gate
concept_bridge_ford	Ford
concept_aquarium_shark_ray_alley	Shark Ray Alley
17.8515700000000,-88.0201400000000	17.8515700000000,-88.0201400000000
concept_roadaccidentevent_new_orleans_police	New Orleans Police
29.9668895652174,-90.0609830434783	29.9668895652174,-90.0609830434783
concept_comedian_dennis_quaid	Dennis Quaid
concept_female_kimberly_buffington	Kimberly Buffington
concept_bakedgood_fresh_scones	Fresh Scones
concept_person_denis_mukwege	Denis Mukwege
concept_park_ludlow	Ludlow
concept_winery_andre	Andre
concept_coach_atlanta_thrashers	Atlanta Thrashers
concept_lake_lake_thurmond	Lake Thurmond
concept_athlete_mickael_gelabale	Mickael Gelabale
concept_radiostation_st_cloud	St Cloud
concept_movie_erin_brockovich	Erin Brockovich
concept_nerve_cords	Cords
concept_governmentorganization_u_s__office_of_personnel_management	US Office Of Personnel Management
concept_athlete_wilfredo_ledezma	Wilfredo Ledezma
concept_musicinstrument_roman_catholic	Roman Catholic
concept_city_fort_bragg	Fort Bragg
concept_governmentorganization_transportation_security_administration	Transportation Security Administration
concept_jobposition_physical_therapist	Physical Therapist
concept_braintissue_nervous_systems	Nervous Systems
concept_sportsleague_nwhl	Nwhl
concept_sportsleague_national_women_s_hockey_league	National Women S Hockey League
concept_skiarea_camp_richardson	Camp Richardson
38.9320575000000,-120.0401125000000	38.9320575000000,-120.0401125000000
concept_musician_levi_stubbs	Levi Stubbs
concept_musicartist_four_tops	Four Tops
concept_book_perfect_storm	Perfect Storm
concept_personaustralia_derek_jeter	Derek Jeter
concept_televisionstation_cnbc	Cnbc
concept_journalist_christine_brennan	Christine Brennan
concept_hobby_posts	Posts
concept_personcanada_first_home	First Home
concept_musician_benji	Benji
concept_televisionshow_watchers	Watchers
concept_actor_al_gore	Al Gore
concept_profession_producers	Producers
concept_island_samothrace	Samothrace
40.4616650000000,25.5527750000000	40.4616650000000,25.5527750000000
concept_nondiseasecondition_nursing	Nursing
concept_visualizablething_manual	Manual
concept_person_holly001	Holly001
concept_fruit_melons	Melons
concept_musician_itzhak_perlman	Itzhak Perlman
concept_sportsteam_saint_mary	Saint Mary
concept_sportsteam_the_australian_national_university	The Australian National University
concept_skiarea_sansicario	Sansicario
44.9575000000000,6.8042500000000	44.9575000000000,6.8042500000000
concept_stadiumoreventvenue_blue_cross_arena	Blue Cross Arena
concept_plant_acacias	Acacias
concept_coach_denver_broncos	Denver Broncos
concept_plant_evergreen_shrub	Evergreen Shrub
concept_professionalorganization_kappa_alpha_fraternity	Kappa Alpha Fraternity
38.9847200000000,-76.9363900000000	38.9847200000000,-76.9363900000000
concept_beverage_limeade	Limeade
concept_personus_rebecca_wells	Rebecca Wells
concept_book_the_divine_secrets_of_the_ya_ya_sisterhood	The Divine Secrets Of The Ya Ya Sisterhood
concept_book_the_reporter_who_made_himself_king	The Reporter Who Made Himself King
concept_book_psalm_27	Psalm 27
concept_politician_president_gerald_ford	President Gerald Ford
concept_chemical_amino_acid	Amino Acid
concept_personus_matt_holiday	Matt Holiday
concept_city_los_gatos	Los Gatos
concept_city_navigation	Navigation
concept_writer_richard_wolffe	Richard Wolffe
concept_creditunion_it	It
concept_person_chandler	Chandler
concept_university_basel_university	Basel University
concept_book_confessor	Confessor
concept_bathroomitem_seperate_shower_cubicle	Seperate Shower Cubicle
concept_park_schiller_park	Schiller Park
concept_drug_gemtuzumab	Gemtuzumab
concept_celebrity_chris_robinson	Chris Robinson
concept_crustacean_costco	Costco
concept_website_kfsn	Kfsn
concept_drug_omeprazole	Omeprazole
concept_profession_miners	Miners
concept_governmentorganization_gils	Gils
concept_governmentorganization_defenselink_locator	Defenselink Locator
concept_journalist_greg_cote	Greg Cote
concept_county_marquette_university	Marquette University
concept_drug_fluticasone	Fluticasone
concept_academicfield_christian_studies	Christian Studies
concept_ceo_david_richards	David Richards
concept_visualizablescene_saddle_brook	Saddle Brook
concept_book_brother_odd	Brother Odd
concept_sportsteamposition_offensive_guard	Offensive Guard
concept_city_brecon	Brecon
concept_river_usk	Usk
concept_clothing_pillow	Pillow
concept_weapon_gas_file	Gas File
concept_port_place_d_italie	Place D Italie
48.8317000000000,2.3575000000000	48.8317000000000,2.3575000000000
concept_city_fort_dodge	Fort Dodge
concept_county_killington	Killington
concept_hotel_park_vista	Park Vista
concept_city_gatlinburg	Gatlinburg
concept_city_baptistown	Baptistown
concept_county_west_greenwich	West Greenwich
concept_winery_castle	Castle
concept_city_cambria	Cambria
concept_emotion_average	Average
concept_building_exeter	Exeter
concept_museum_san_francisco_state_university	San Francisco State University
concept_park_london_heathrow_airport	London Heathrow Airport
concept_person_mariah	Mariah
concept_personus_bosnia_and_herzegovina	Bosnia And Herzegovina
concept_blog_business_week	Business Week
concept_academicfield_project_management	Project Management
concept_celebrity_uconn_huskies	Uconn Huskies
concept_hotel_trelawn_place	Trelawn Place
-45.0335000000000,168.6614000000000	-45.0335000000000,168.6614000000000
concept_ceo_evan_williams	Evan Williams
concept_aquarium_water_chemical_testing_aquarium	Water Chemical Testing Aquarium
concept_visualizablescene_pulau_redang	Pulau Redang
5.7740666666667,102.9730033333333	5.7740666666667,102.9730033333333
concept_athlete_andrea_bargnani	Andrea Bargnani
concept_date_november_2007	November 2007
concept_musicalbum_sanctuary	Sanctuary
concept_drug_lamivudine	Lamivudine
concept_beach_cortaro	Cortaro
32.3541000000000,-111.0844725000000	32.3541000000000,-111.0844725000000
concept_person_jeff_samardzija	Jeff Samardzija
concept_hallwayitem_plan	Plan
concept_beverage_overall_water	Overall Water
concept_sportsteam_rutgers_university	Rutgers University
concept_aquarium_n1892_world	N1892 World
concept_televisionstation_wsbtv	Wsbtv
concept_athlete_brendan_donnelly	Brendan Donnelly
concept_awardtrophytournament_numerous_awards	Numerous Awards
